total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,stringency_index,vaccine_me,aged_65_older,aged_70_older,cardiovasc_death_rate
1613928,11765,7151.857,43163,145,121.286,35388.639,257.971,156.819,946.436,3.179,2.659,3440,75.429,40593,40582,10,1,20102,20102,79.17,31.9,11.198,7.441,191.032
1634834,5240,8081,43375,56,124.857,35847.045,114.898,177.192,951.085,1.228,2.738,3438,75.385,46838,46825,12,1,3312,6587,79.17,31.9,11.198,7.441,191.032
1640718,5884,8203,43482,107,118.857,35976.064,129.019,179.867,953.431,2.346,2.606,3433,75.275,47280,47265,13,2,442,5358,79.17,31.9,11.198,7.441,191.032
1648940,8222,8346.714,43634,152,109.429,36156.348,180.284,183.019,956.764,3.333,2.399,3502,76.788,57740,57719,17,4,10460,6208,79.17,31.9,11.198,7.441,191.032
1662730,13790,8652.429,43785,151,109.571,36458.722,302.374,189.722,960.075,3.311,2.403,3460,75.868,68466,68442,20,4,10726,6854,79.17,31.9,11.198,7.441,191.032
1676171,13441,8891.857,43976,191,116.143,36753.443,294.721,194.972,964.263,4.188,2.547,3460,75.868,78574,78550,20,4,10108,5426,79.17,31.9,11.198,7.441,191.032
1690006,13835,9213.143,44122,146,125.286,37056.803,303.36,202.017,967.464,3.201,2.747,3559,78.038,96796,96770,22,4,18222,7628,79.17,31.9,11.198,7.441,191.032
1703352,13346,10536.857,44273,151,136.286,37349.441,292.638,231.042,970.775,3.311,2.988,3559,78.038,124679,124647,28,4,27883,11593,79.17,31.9,11.198,7.441,191.032
1714409,11057,11367.857,44417,144,148.857,37591.888,242.447,249.263,973.933,3.157,3.264,3597,78.872,134888,134855,29,4,10209,12579,79.17,31.9,11.198,7.441,191.032
1722217,7808,11642.714,44495,78,144.714,37763.094,171.206,255.29,975.643,1.71,3.173,3612,79.2,136063,136028,29,6,1175,12683,79.17,31.9,11.198,7.441,191.032
1730921,8704,11711.571,44654,159,145.714,37953.947,190.853,256.8,979.129,3.486,3.195,3606,79.069,155887,155847,33,7,19824,14021,79.17,31.9,11.198,7.441,191.032
1744704,13783,11710.571,44848,194,151.857,38256.167,302.22,256.778,983.383,4.254,3.33,3619,79.354,175276,175218,43,15,19389,15259,79.17,31.9,11.198,7.441,191.032
1757429,12725,11608.286,44983,135,143.857,38535.189,279.021,254.535,986.343,2.96,3.154,3619,79.354,192042,191983,44,15,16766,16210,79.17,31.9,11.198,7.441,191.032
1770715,13286,11529.857,45125,142,143.286,38826.511,291.322,252.815,989.457,3.114,3.142,3634,79.683,208687,208627,44,16,16645,15984,79.17,31.9,11.198,7.441,191.032
1783047,12332,11385,45227,102,136.286,39096.915,270.404,249.639,991.694,2.237,2.988,3578,78.455,226126,226060,50,16,17439,14492,79.17,31.9,11.198,7.441,191.032
1791979,8932,11081.429,45295,68,125.429,39292.768,195.852,242.983,993.185,1.491,2.75,3578,78.455,232009,231942,51,16,5883,13874,79.17,31.9,11.198,7.441,191.032
1799243,7264,11003.714,45407,112,130.286,39452.045,159.278,241.279,995.64,2.456,2.857,3547,77.775,233071,232999,54,18,1062,13858,79.17,31.9,11.198,7.441,191.032
1807428,8185,10929.571,45832,425,168.286,39631.518,179.473,239.653,1004.959,9.319,3.69,3564,78.148,242903,242820,58,25,9832,12431,79.17,31.9,11.198,7.441,191.032
1819569,12141,10695,46066,234,174,39897.734,266.216,234.51,1010.09,5.131,3.815,3562,78.104,256149,250635,5488,26,13246,11553,79.17,31.9,11.198,7.441,191.032
1831681,12112,10607.429,46216,150,176.143,40163.314,265.58,232.589,1013.379,3.289,3.862,3562,78.104,275572,256544,19002,26,19423,11933,79.17,31.9,11.198,7.441,191.032
1843077,11396,10337.429,46355,139,175.714,40413.195,249.88,226.669,1016.427,3.048,3.853,3616,79.288,289688,261341,28321,26,14116,11572,79.17,31.9,11.198,7.441,191.032
1853830,10753,10111.857,46575,220,192.571,40648.976,235.781,221.723,1021.251,4.824,4.223,3616,79.288,298906,266364,32515,27,9218,10397,79.17,31.9,11.198,7.441,191.032
1862192,8362,10030.429,46737,162,206,40832.33,183.354,219.937,1024.803,3.552,4.517,3618,79.332,302851,267477,35346,28,3945,10120,79.17,31.9,11.198,7.441,191.032
1867223,5031,9711.429,46827,90,202.857,40942.645,110.315,212.943,1026.777,1.973,4.448,3619,79.354,303154,267568,35558,28,303,10012,79.17,31.9,11.198,7.441,191.032
1874801,7578,9624.714,47034,207,171.714,41108.808,166.163,211.041,1031.316,4.539,3.765,3619,79.354,317364,274690,42646,28,14210,10637,79.17,31.9,11.198,7.441,191.032
1885210,10409,9377.286,47253,219,169.571,41337.046,228.238,205.616,1036.118,4.802,3.718,3614,79.244,330173,280009,50136,28,12809,10575,79.17,31.9,11.198,7.441,191.032
1896053,10843,9196,47435,182,174.143,41574.801,237.755,201.641,1040.108,3.991,3.818,3614,79.244,340278,284100,56150,28,10105,9244,79.17,31.9,11.198,7.441,191.032
1905524,9471,8921,47601,166,178,41782.472,207.671,195.611,1043.748,3.64,3.903,3607,79.091,356327,285543,70755,29,16049,9520,79.17,31.9,11.198,7.441,191.032
1915362,9838,8790.286,47775,174,171.429,41998.19,215.718,192.745,1047.564,3.815,3.759,3628,79.551,379825,287005,92791,29,23498,11560,79.17,31.9,11.198,7.441,191.032
1922264,6902,8581.714,47931,156,170.571,42149.53,151.34,188.171,1050.984,3.421,3.74,3624,79.464,389137,287207,101901,29,9312,12327,79.17,31.9,11.198,7.441,191.032
1927239,4975,8573.714,47974,43,163.857,42258.617,109.087,187.996,1051.927,0.943,3.593,3617,79.31,389761,287215,102517,29,624,12372,79.17,31.9,11.198,7.441,191.032
1933853,6614,8436,48249,275,173.571,42403.642,145.025,184.976,1057.957,6.03,3.806,3554,77.929,409284,289487,119767,30,19523,13131,79.17,31.9,11.198,7.441,191.032
1943548,9695,8334,48426,177,167.571,42616.225,212.583,182.74,1061.838,3.881,3.674,3586,78.63,433156,295129,137996,31,23872,14712,79.17,31.9,11.198,7.441,191.032
1952744,9196,8098.714,48539,113,157.714,42817.866,201.641,177.581,1064.316,2.478,3.458,3571,78.301,459766,305537,154198,31,26610,17070,79.17,31.9,11.198,7.441,191.032
1961635,8891,8015.857,48700,161,157,43012.819,194.953,175.764,1067.846,3.53,3.443,3570,78.279,487888,315855,172002,31,28122,18794,79.17,31.9,11.198,7.441,191.032
1970009,8374,7806.714,48985,285,172.857,43196.436,183.617,171.178,1074.095,6.249,3.79,3550,77.841,520917,329741,191147,31,33029,20156,79.17,31.9,11.198,7.441,191.032
1976689,6680,7775,49110,125,168.429,43342.908,146.473,170.483,1076.836,2.741,3.693,3550,77.841,531843,332817,198997,31,10926,20387,79.17,31.9,11.198,7.441,191.032
1980347,3658,7586.857,49171,61,171,43423.117,80.209,166.357,1078.174,1.338,3.75,3550,77.841,533226,333388,199809,31,1383,20495,79.17,31.9,11.198,7.441,191.032
1985501,5154,7378.286,49398,227,164.143,43536.129,113.012,161.784,1083.151,4.977,3.599,3526,77.315,556645,349855,206761,31,23419,21052,79.17,31.9,11.198,7.441,191.032
1993295,7794,7106.714,49566,168,162.857,43707.028,170.899,155.829,1086.835,3.684,3.571,3553,77.907,576841,364121,212691,31,20196,20526,79.17,31.9,11.198,7.441,191.032
2001034,7739,6898.571,49674,108,162.143,43876.722,169.693,151.265,1089.203,2.368,3.555,3561,78.082,592463,375129,217305,31,15622,18957,79.17,31.9,11.198,7.441,191.032
2008345,7311,6672.857,49874,200,167.714,44037.03,160.308,146.316,1093.588,4.385,3.677,3541,77.644,610314,379796,230489,31,17851,17489,79.17,31.9,11.198,7.441,191.032
2015496,7151,6498.143,50029,155,149.143,44193.83,156.8,142.485,1096.987,3.399,3.27,3538,77.578,626145,384054,242062,31,15831,15033,79.17,31.9,11.198,7.441,191.032
2021553,6057,6409.143,50188,159,154,44326.642,132.812,140.533,1100.474,3.486,3.377,3514,77.052,629181,384417,244735,31,3036,13905,79.17,31.9,11.198,7.441,191.032
2025798,4245,6493,50236,48,152.143,44419.722,93.08,142.372,1101.526,1.052,3.336,3547,77.775,629333,384441,244863,31,152,13730,79.17,31.9,11.198,7.441,191.032
2029057,3259,6222.286,50327,91,132.714,44491.183,71.46,136.436,1103.521,1.995,2.91,3538,77.578,630649,385521,245099,31,1316,10572,79.17,31.9,11.198,7.441,191.032
2033060,4003,5680.714,50432,105,123.714,44578.957,87.774,124.561,1105.824,2.302,2.713,3581,78.521,631960,386558,245373,31,1311,7874,79.17,31.9,11.198,7.441,191.032
2039124,6064,5441.429,50616,184,134.571,44711.922,132.965,119.314,1109.858,4.035,2.951,3573,78.345,656351,406202,250120,31,24391,9127,79.17,31.9,11.198,7.441,191.032
2054681,7886,5597.857,51000,143,138.714,45053.041,172.917,122.744,1118.278,3.136,3.042,3608,79.113,788042,518798,269214,32,67874,23128,77.31,31.9,11.198,7.441,191.032
2060625,5944,5581.714,51122,122,133.429,45183.375,130.334,122.39,1120.953,2.675,2.926,3605,79.047,820656,549870,270756,32,32614,27354,77.31,31.9,11.198,7.441,191.032
2064334,3709,5505.143,51198,76,137.429,45264.702,81.327,120.711,1122.62,1.666,3.013,3605,79.047,840831,570009,270792,32,20175,30214,77.31,31.9,11.198,7.441,191.032
2069751,5417,5813.429,51359,161,147.429,45383.481,118.779,127.471,1126.15,3.53,3.233,3550,77.841,908373,635829,272514,32,67542,39675,77.31,31.9,11.198,7.441,191.032
2077228,7477,6309.714,51510,151,154,45547.429,163.948,138.353,1129.461,3.311,3.377,3529,77.38,995309,718653,276626,32,86936,51907,77.31,31.9,11.198,7.441,191.032
2085411,8183,6612.429,51650,140,147.714,45726.858,179.429,144.991,1132.531,3.07,3.239,3504,76.832,1089093,805973,283088,34,93784,61820,77.31,31.9,11.198,7.441,191.032
2093645,8234,6692.857,51795,145,134,45907.405,180.547,146.754,1135.71,3.179,2.938,3467,76.021,1168587,873978,294521,90,79494,64060,77.31,31.9,11.198,7.441,191.032
2098728,5083,6292.429,51887,92,126.714,46018.86,111.455,137.974,1137.728,2.017,2.778,3475,76.196,1250255,944628,305539,90,81668,66030,77.31,31.9,11.198,7.441,191.032
2107365,3168,6147.286,51965,19,109.571,46208.244,69.465,134.792,1139.438,0.417,2.403,3505,76.854,1274259,966307,307864,90,6120,61918,77.31,31.9,11.198,7.441,191.032
2112023,4658,6038.857,52077,112,102.571,46310.38,102.136,132.414,1141.894,2.456,2.249,3505,76.854,1348804,1033523,315193,90,74545,62919,77.31,31.9,11.198,7.441,191.032
2126531,7855,5874.286,52453,261,114.714,46628.497,172.237,128.806,1150.138,5.723,2.515,3521,77.205,1495853,1166197,329568,90,71451,58109,77.31,31.9,11.198,7.441,191.032
2133963,7432,5759.714,52644,191,121.286,46791.459,162.962,126.293,1154.326,4.188,2.659,3489,76.503,1607911,1264634,343188,91,112058,62761,77.31,31.9,11.198,7.441,191.032
2141854,7891,6160.857,52784,140,128.143,46964.485,173.026,135.089,1157.396,3.07,2.81,3485,76.416,1719638,1363535,356014,91,111727,67055,77.31,31.9,11.198,7.441,191.032
2146714,4860,6073.857,52870,86,132,47071.051,106.565,133.182,1159.282,1.886,2.894,3475,76.196,1774571,1414679,359803,91,54933,72347,77.31,31.9,11.198,7.441,191.032
2149636,2922,6038.714,52880,10,130.714,47135.121,64.071,132.411,1159.501,0.219,2.866,3467,76.021,1786357,1426384,359884,91,11786,73157,77.31,31.9,11.198,7.441,191.032
2154694,5058,6095.857,53121,241,149.143,47246.028,110.907,133.664,1164.785,5.284,3.27,3484,76.394,1888827,1526363,362375,91,102470,77146,71.76,31.9,11.198,7.441,191.032
2162001,7307,6189.286,53252,131,151.429,47406.249,160.221,135.713,1167.658,2.872,3.32,3525,77.293,2004611,1639831,364690,92,115784,82887,71.76,31.9,11.198,7.441,191.032
2169694,7693,6166.143,53359,107,129.429,47574.934,168.685,135.205,1170.004,2.346,2.838,3491,76.547,2168558,1797452,371016,92,163947,96101,71.76,31.9,11.198,7.441,191.032
2177898,8204,6276.429,53493,134,121.286,47754.823,179.889,137.623,1172.942,2.938,2.659,3438,75.385,2355371,1951478,403802,93,186813,106780,71.76,31.9,11.198,7.441,191.032
2185747,7849,6270.429,53578,85,113.429,47926.928,172.105,137.492,1174.806,1.864,2.487,3417,74.925,2516998,2069545,447362,93,161627,113909,71.76,31.9,11.198,7.441,191.032
2192025,6278,6473,53646,68,110.857,48064.586,137.658,141.934,1176.297,1.491,2.431,3454,75.736,2563379,2088653,474635,93,46381,112687,71.76,31.9,11.198,7.441,191.032
2195722,3697,6583.714,53670,24,112.857,48145.65,81.064,144.361,1176.823,0.526,2.475,3479,76.284,2572547,2096582,475874,93,9168,112313,71.76,31.9,11.198,7.441,191.032
2201886,6164,6741.714,53836,166,102.143,48280.808,135.158,147.826,1180.463,3.64,2.24,3469,76.065,2710124,2205565,504467,94,137577,117328,71.76,31.9,11.198,7.441,191.032
2210121,8235,6874.286,54036,200,112,48461.377,180.569,150.733,1184.849,4.385,2.456,3469,76.065,2843829,2317159,526578,94,133705,119888,70.37,31.9,11.198,7.441,191.032
2218425,8304,6961.571,54231,195,124.571,48643.459,182.082,152.647,1189.124,4.276,2.731,3485,76.416,2983377,2438509,544776,94,139548,116403,70.37,31.9,11.198,7.441,191.032
2226753,8328,6979.286,54386,155,127.571,48826.068,182.608,153.035,1192.523,3.399,2.797,3522,77.227,3122306,2534036,588177,95,138929,109562,70.37,31.9,11.198,7.441,191.032
2234913,8160,7023.714,54476,90,128.286,49004.992,178.925,154.009,1194.497,1.973,2.813,3534,77.49,3248470,2624132,624245,95,126164,104496,70.37,31.9,11.198,7.441,191.032
2241739,6826,7102,54517,41,124.429,49154.666,149.674,155.726,1195.396,0.899,2.728,3534,77.49,3299332,2662211,637028,95,50862,105136,70.37,31.9,11.198,7.441,191.032
2245771,4032,7149.857,54545,28,125,49243.076,88.41,156.775,1196.01,0.614,2.741,3534,77.49,3318958,2680519,638344,97,19626,106630,70.37,31.9,11.198,7.441,191.032
2252172,6401,7183.714,54671,126,119.286,49383.431,140.355,157.517,1198.772,2.763,2.616,3530,77.402,3401993,2750780,651117,98,83035,98838,70.37,31.9,11.198,7.441,191.032
2261577,9405,7350.857,54823,152,112.429,49589.654,206.224,161.182,1202.105,3.333,2.465,3591,78.74,3508439,2844713,663630,98,106446,94944,71.76,31.9,11.198,7.441,191.032
2269877,8300,7350.286,54946,123,102.143,49771.649,181.994,161.17,1204.802,2.697,2.24,3574,78.367,3545895,2880929,664870,98,37456,80360,71.76,31.9,11.198,7.441,191.032
2278115,8238,7337.429,55092,146,100.857,49952.284,180.635,160.888,1208.004,3.201,2.211,3585,78.608,3649069,2968702,680271,98,103174,75252,71.76,31.9,11.198,7.441,191.032
2291051,12936,8019.714,55235,143,108.429,50235.931,283.648,175.848,1211.139,3.136,2.378,3508,76.92,3742616,3051869,690651,98,93547,70592,71.76,31.9,11.198,7.441,191.032
2301389,10338,8521.429,55368,133,121.571,50462.613,226.682,186.85,1214.055,2.916,2.666,3506,76.876,3797694,3103803,693795,98,55078,71195,71.76,31.9,11.198,7.441,191.032
2322611,14014,10062.714,55611,162,134.286,50927.948,307.285,220.645,1219.384,3.552,2.944,3639,79.792,3938692,3239964,698630,100,120182,76671,71.76,31.9,11.198,7.441,191.032
2332765,10154,10169.714,55736,125,130.429,51150.595,222.647,222.992,1222.125,2.741,2.86,3702,81.174,4101690,3397654,703936,102,162998,84750,71.76,31.9,11.198,7.441,191.032
